event_name	diff	MostExtremeDiff	MostExtremeBF
gene:ENSG00000185721	0.38,-0.03,-0.02,-0.33	0.38	1e+12
gene:ENSG00000197077	0.27,0.41,-0.70,0.02	0.7	1e+12
gene:ENSG00000239900	-0.03,0.05,-0.04,0.02,0.01,0.01,-0.03,-0.00,-0.04,-0.00,0.01,-0.00,0.01,0.01,0.00,0.00,0.00	0.05	204267.78
gene:ENSG00000100142	0.15,-0.02,-0.08,-0.00,-0.00,-0.07,-0.01,-0.02,0.02,0.05,-0.01,-0.00	0.15	62214.63
gene:ENSG00000070010	0.32,-0.49,0.10,-0.00,0.03,0.05	0.49	750.29
gene:ENSG00000242114	-0.32,0.03,0.38,0.15,-0.23	0.38	263.59
gene:ENSG00000100239	0.02,0.06,0.07,0.17,0.01,-0.33,0.01	0.33	166.2
gene:ENSG00000186998	-0.51,0.05,0.07,0.29,-0.00,0.05,0.05	0.51	155.27
gene:ENSG00000015475	-0.01,0.04,0.07,0.07,0.10,-0.00,0.14,0.01,-0.35,-0.08,0.01	0.35	74.63
gene:ENSG00000186575	-0.00,-0.25,-0.01,0.06,0.01,-0.00,0.01,0.00,0.12,0.04,0.03	0.25	19.53
gene:ENSG00000184949	0.52,-0.15,-0.37	0.52	19.21
gene:ENSG00000099968	-0.00,0.01,-0.02,-0.02,0.01,0.03,0.00,-0.00,-0.05,0.03,-0.07,0.08,0.01	0.08	18.69
gene:ENSG00000054611	0.09,0.35,0.06,0.05,0.01,-0.11,-0.01,-0.43	0.43	18.15
gene:ENSG00000133424	-0.01,0.01,0.02,0.23,-0.31,0.03,0.01,-0.00,0.01,-0.01,0.00,0.01	0.31	16.41
gene:ENSG00000100099	0.09,-0.01,-0.01,-0.02,-0.34,-0.01,0.29	0.34	12.62
gene:ENSG00000100297	0.18,0.01,-0.22,-0.00,0.03	0.22	12.52
gene:ENSG00000186716	0.18,-0.25,0.07	0.25	9.06
gene:ENSG00000100028	0.11,-0.18,0.07,-0.00	0.18	8.98
gene:ENSG00000185838	-0.01,-0.44,0.46,-0.00	0.46	8.72
gene:ENSG00000100003	-0.01,-0.06,0.12,0.02,0.01,-0.27,0.27,-0.05,-0.02	0.27	8.66
gene:ENSG00000100330	-0.14,0.15,-0.04,0.16,-0.06,-0.08	0.16	8.05
gene:ENSG00000249590	0.05,0.25,-0.29	0.29	6.23
gene:ENSG00000128294	0.12,-0.04,-0.02,0.00,-0.00,-0.01,-0.02,-0.03,-0.00	0.12	5.8
gene:ENSG00000100196	0.49	0.49	5.58
gene:ENSG00000179750	0.04,0.16,0.10,-0.30	0.3	4.58
gene:ENSG00000128159	-0.36,0.32,0.04,-0.01	0.36	4.25
gene:ENSG00000239282	-0.38,0.17,0.05,0.10,0.03,0.04,0.00	0.38	3.82
gene:ENSG00000128272	-0.00,-0.03,0.03	0.03	3.55
gene:ENSG00000100354	-0.11,-0.01,-0.06,-0.03,0.28,-0.07	0.28	3.34
gene:ENSG00000100241	0.14,-0.14,0.00	0.14	3.31
gene:ENSG00000133460	0.15,-0.04,-0.02,0.02,-0.02,-0.15,-0.01,-0.02,0.09,-0.02,0.02	0.15	3.09
gene:ENSG00000100225	0.03,-0.03,-0.01,-0.10,0.10,0.01	0.1	2.98
gene:ENSG00000130638	0.06,-0.05,0.04,0.09,-0.15	0.15	2.87
gene:ENSG00000100325	-0.29,0.00,-0.04,0.30,-0.03,0.01,0.06,-0.01,-0.00	0.3	2.78
gene:ENSG00000196236	0.21,-0.35,0.14	0.35	2.62
gene:ENSG00000100320	0.26,0.02,-0.06,-0.04,-0.06,-0.01,-0.02,-0.08,0.07,-0.05,-0.04,-0.01	0.26	2.6
gene:ENSG00000100280	0.26,-0.10,-0.09,0.11,-0.04,-0.12,-0.00,-0.02	0.26	2.48
gene:ENSG00000188677	0.06,0.04,0.11,0.08,-0.28	0.28	2.32
gene:ENSG00000100379	0.20,0.15,-0.30,0.09,-0.10,-0.05	0.3	2.3
gene:ENSG00000100083	0.09,0.05,-0.00,-0.00,0.19,0.02,-0.08,-0.01,-0.00,0.01,-0.12,-0.01,-0.10,-0.03,-0.02	0.19	2.21
gene:ENSG00000070413	0.22,0.06,0.03,-0.31	0.31	1.86
gene:ENSG00000241878	0.06,-0.24,-0.01,-0.04,0.06,0.02,0.04,0.06,0.02,0.02	0.24	1.85
gene:ENSG00000183963	-0.03,-0.02,-0.06,-0.05,-0.03,-0.05,-0.06,0.33,-0.03,-0.02,0.08,-0.01,-0.00,-0.01,-0.00,-0.01	0.33	1.82
gene:ENSG00000196419	-0.01,-0.00,-0.10,0.01,0.06,0.06	0.1	1.77
gene:ENSG00000248751	-0.22,0.01,0.32,-0.04,-0.08	0.32	1.77
