GeneID N052611_untreated N080611_untreated N61311_untreated N052611_Dex N080611_Dex N61311_Dex
ENSG00000000003 432 575 320 197 542 213
ENSG00000000005 0 0 0 0 0 0
ENSG00000000419 277 285 219 175 375 276
ENSG00000000457 194 184 157 122 205 138
ENSG00000000460 51 82 50 26 76 52
ENSG00000000938 1 0 0 0 0 0
ENSG00000000971 2734 2988 1403 1792 4718 1513
ENSG00000001036 1336 1061 1117 682 1054 799
ENSG00000001084 308 406 268 253 360 198
ENSG00000001167 241 346 230 93 275 131
ENSG00000001460 122 115 87 55 101 74
ENSG00000001461 2467 1351 999 1274 1355 933
ENSG00000001497 288 349 239 151 386 247
ENSG00000001561 104 14 33 82 18 25
ENSG00000001617 418 345 261 198 322 183
ENSG00000001626 1 1 3 0 0 0
ENSG00000001629 1085 1200 813 533 1232 606
ENSG00000001630 48 64 39 16 56 40
ENSG00000001631 422 516 356 229 524 369
ENSG00000002016 102 113 88 46 101 77
ENSG00000002079 0 0 0 1 0 0
ENSG00000002330 371 361 381 190 450 308
ENSG00000002549 614 709 697 467 853 631
ENSG00000002586 4847 5519 3789 3189 6683 3597
ENSG00000002587 0 0 1 0 0 0
ENSG00000002726 0 0 0 0 0 0
ENSG00000002745 7 1 2 8 0 4
ENSG00000002746 52 35 83 25 55 67
ENSG00000002822 207 202 196 86 228 133
ENSG00000002834 4371 3772 3521 3347 6764 3459
ENSG00000002919 143 109 108 99 183 112
ENSG00000002933 304 13 606 200 18 747
ENSG00000003056 724 724 674 406 898 530
ENSG00000003096 280 255 286 93 140 172
ENSG00000003137 110 15 46 35 20 27
ENSG00000003147 0 0 0 1 1 0
ENSG00000003249 106 52 40 39 48 27
ENSG00000003393 400 548 376 263 707 337
ENSG00000003400 54 29 44 34 23 24
ENSG00000003402 954 1331 729 1313 2740 1369
ENSG00000003436 2982 3815 2204 1646 2548 2129
ENSG00000003509 180 208 176 102 224 159
ENSG00000003756 1600 1619 1416 810 1585 1045
ENSG00000003987 16 15 10 18 23 17
ENSG00000003989 1 26 24 1 43 30
ENSG00000004059 676 786 661 506 1220 853
ENSG00000004139 221 218 172 112 234 168
ENSG00000004142 769 885 795 510 1178 787
ENSG00000004399 1722 2529 1930 751 2807 2000
ENSG00000004455 669 626 503 325 963 482
ENSG00000004468 0 1 1 0 0 1
ENSG00000004478 335 372 320 171 420 279
ENSG00000004487 713 777 647 373 766 479
ENSG00000004534 828 771 555 448 808 509
ENSG00000004660 25 41 45 25 31 30
ENSG00000004700 819 640 649 550 986 777
ENSG00000004766 260 276 233 162 302 184
ENSG00000004776 6582 5296 6741 3668 4813 5950
ENSG00000004777 46 41 59 21 33 56
ENSG00000004779 242 182 147 124 251 163
ENSG00000004799 69 114 47 544 265 349
ENSG00000004809 0 0 0 0 0 0
ENSG00000004838 8 4 8 2 7 8
ENSG00000004846 31 3 6 5 5 2
ENSG00000004848 0 0 0 0 0 0
ENSG00000004864 61 115 63 42 128 47
ENSG00000004866 409 285 264 133 291 157
ENSG00000004897 944 955 796 563 1144 696
ENSG00000004939 0 0 0 0 0 0
ENSG00000004948 0 0 0 0 0 0
ENSG00000004961 251 313 198 141 291 152
ENSG00000004975 519 611 667 246 523 476
ENSG00000005001 0 0 0 0 0 0
ENSG00000005007 1221 1088 1068 750 1578 1081
ENSG00000005020 354 288 398 278 373 355
ENSG00000005022 813 786 794 430 904 632
ENSG00000005059 111 90 108 90 109 92
ENSG00000005073 1 0 1 0 0 0
ENSG00000005075 156 124 136 73 160 155
ENSG00000005100 255 245 237 165 333 208
ENSG00000005102 0 3 0 0 0 0
ENSG00000005108 1 1 1 0 1 3
ENSG00000005156 104 167 116 42 209 62
ENSG00000005175 108 265 170 61 228 138
ENSG00000005187 28 23 14 14 21 10
ENSG00000005189 36 50 33 26 22 33
ENSG00000005194 274 253 211 169 344 175
ENSG00000005206 353 366 312 214 482 241
ENSG00000005238 399 447 360 198 441 299
ENSG00000005243 628 448 524 347 508 383
ENSG00000005249 151 144 101 138 185 114
ENSG00000005302 244 261 214 140 334 237
ENSG00000005339 1509 1522 1272 755 1946 964
ENSG00000005379 49 72 74 31 119 63
ENSG00000005381 2 0 2 1 2 4
ENSG00000005421 0 0 0 0 0 0
ENSG00000005436 128 172 119 89 198 119
ENSG00000005448 116 122 112 71 210 91
ENSG00000005469 140 286 242 86 249 176
ENSG00000005471 22 13 29 10 7 9
ENSG00000005483 888 1162 867 573 1294 779
ENSG00000005486 503 547 349 272 666 292
ENSG00000005513 3 2 5 0 2 1
ENSG00000005700 728 634 513 412 832 402
ENSG00000005801 125 154 99 68 114 78
ENSG00000005810 1506 1654 1547 913 2072 1166
ENSG00000005812 732 612 724 693 1025 708
ENSG00000005844 0 0 1 0 1 1
ENSG00000005882 561 633 518 319 617 475
ENSG00000005884 730 653 335 536 1285 314
ENSG00000005889 376 378 331 221 552 278
ENSG00000005893 2955 2693 2432 1773 3307 2166
ENSG00000005955 763 799 644 499 877 572
ENSG00000005961 4 1 1 3 2 2
ENSG00000005981 0 0 0 0 0 0
ENSG00000006007 1426 1588 1094 977 2074 1035
ENSG00000006015 178 104 251 93 164 217
ENSG00000006016 51 65 84 43 89 75
ENSG00000006025 129 86 106 39 41 57
ENSG00000006042 1743 1895 1437 1033 2189 1159
ENSG00000006047 0 0 0 0 0 0
ENSG00000006059 0 0 0 0 0 0
ENSG00000006062 158 179 167 49 108 125
ENSG00000006071 0 0 0 0 0 0
ENSG00000006074 0 0 0 0 0 0
ENSG00000006075 0 0 0 0 0 0
ENSG00000006114 648 733 600 259 574 340
ENSG00000006116 0 0 0 0 0 0
ENSG00000006118 276 334 226 125 278 178
ENSG00000006125 3848 3988 3546 2480 4554 2644
ENSG00000006128 1 0 0 0 0 3
ENSG00000006194 308 363 292 222 450 238
ENSG00000006210 2 2 2 3 5 4
ENSG00000006282 593 747 801 337 844 633
ENSG00000006283 19 72 60 4 31 23
ENSG00000006327 330 340 234 107 644 160
ENSG00000006377 0 0 0 0 0 0
ENSG00000006432 4 4 0 0 1 2
ENSG00000006451 559 744 830 275 543 447
ENSG00000006453 137 141 90 85 130 73
ENSG00000006459 171 222 222 136 180 165
ENSG00000006468 108 91 99 59 115 48
ENSG00000006530 199 238 165 112 251 140
ENSG00000006534 605 728 403 409 1209 526
ENSG00000006555 0 0 0 0 0 0
ENSG00000006576 744 621 438 346 569 313
ENSG00000006606 1 3 2 0 3 2
ENSG00000006607 507 373 357 417 753 396
ENSG00000006611 0 0 0 0 0 0
ENSG00000006625 115 138 91 46 149 88
ENSG00000006634 43 54 51 28 36 34
ENSG00000006638 53 36 39 15 25 17
ENSG00000006652 512 704 420 256 747 357
ENSG00000006659 0 0 0 0 0 0
ENSG00000006695 105 85 88 70 161 78
ENSG00000006704 172 166 141 84 144 106
ENSG00000006712 696 756 483 305 688 410
ENSG00000006715 1270 1341 980 729 1492 768
ENSG00000006740 14 19 18 7 23 15
ENSG00000006744 490 513 425 302 642 448
ENSG00000006747 0 1 3 0 1 0
ENSG00000006756 283 291 227 179 331 169
ENSG00000006757 95 104 62 39 108 62
ENSG00000006788 0 3 0 0 8 15
ENSG00000006831 582 561 525 416 810 519
ENSG00000006837 9 8 7 3 4 5
ENSG00000007001 1 0 0 0 0 0
ENSG00000007038 1 0 1 1 0 0
ENSG00000007047 415 466 345 252 502 305
ENSG00000007062 0 0 0 0 1 0
ENSG00000007080 333 384 284 173 571 313
ENSG00000007129 0 0 0 0 0 0
ENSG00000007168 2134 2224 1855 1360 2747 1693
ENSG00000007171 0 2 0 0 1 2
ENSG00000007174 1 0 0 0 0 0
ENSG00000007202 3882 3768 3188 2130 5007 2508
ENSG00000007216 0 0 0 0 0 0
ENSG00000007237 145 147 206 24 71 46
ENSG00000007255 46 67 56 54 93 66
ENSG00000007264 0 0 0 0 0 0
ENSG00000007306 0 0 0 0 0 0
ENSG00000007312 0 3 1 4 0 1
ENSG00000007314 1 0 0 1 0 1
ENSG00000007341 182 231 121 93 315 136
ENSG00000007350 0 0 0 0 0 0
ENSG00000007372 10 17 12 9 14 15
ENSG00000007376 105 151 145 66 193 119
ENSG00000007384 1003 893 961 479 1214 852
ENSG00000007392 382 396 384 200 402 267
ENSG00000007402 4 4 6 8 3 6
ENSG00000007516 9 15 15 14 18 13
ENSG00000007520 303 307 314 155 440 298
ENSG00000007541 315 308 344 165 459 284
ENSG00000007545 163 162 137 88 182 143
ENSG00000007866 779 569 641 683 1012 928
ENSG00000007908 0 0 0 0 0 0
ENSG00000007923 518 564 444 280 721 429
ENSG00000007933 1005 110 387 769 181 388
ENSG00000007944 232 239 150 100 202 117
ENSG00000007952 3 1 1 3 2 4
ENSG00000007968 0 0 1 2 1 1
ENSG00000008018 856 775 784 535 935 713
ENSG00000008056 14 6 7 5 12 16
ENSG00000008083 140 130 121 94 245 111
ENSG00000008086 60 69 38 22 86 42
ENSG00000008118 4 5 0 0 1 2
ENSG00000008128 51 25 46 27 44 46
ENSG00000008130 525 514 450 487 908 679
ENSG00000008196 0 0 0 1 0 0
ENSG00000008197 0 0 0 0 0 0
ENSG00000008226 82 78 69 44 87 60
ENSG00000008256 1471 1318 880 1835 4237 1493
ENSG00000008277 7 10 8 10 7 5
ENSG00000008282 988 932 921 809 1344 866
ENSG00000008283 296 301 262 141 404 224
ENSG00000008294 1717 1575 1336 976 1855 1058
ENSG00000008300 39 57 31 23 76 36
ENSG00000008311 250 203 204 296 450 435
ENSG00000008323 1 5 2 0 5 3
ENSG00000008324 47 62 49 48 65 81
ENSG00000008382 66 94 82 43 142 50
ENSG00000008394 1369 3408 1300 923 3848 1381
ENSG00000008405 116 145 129 83 212 139
ENSG00000008438 0 0 0 0 0 1
ENSG00000008441 6261 5594 6555 2774 5370 4474
ENSG00000008513 853 1270 1010 270 1114 564
ENSG00000008516 4 2 9 0 9 3
ENSG00000008517 50 17 40 18 11 23
ENSG00000008710 2039 1701 1966 1281 3547 2097
ENSG00000008735 12 8 7 5 7 12
ENSG00000008838 600 654 585 321 780 478
ENSG00000008853 381 342 321 290 589 359
ENSG00000008869 361 403 353 229 438 300
ENSG00000008952 2581 2794 2184 1727 3894 2148
ENSG00000008988 5210 4712 5738 2942 5381 5129
ENSG00000009307 9651 9658 7214 5529 10724 6299
ENSG00000009335 1050 1174 996 705 1586 981
ENSG00000009413 2818 3012 2649 4001 5464 5251
ENSG00000009694 1 1 8 2 0 3
ENSG00000009709 0 0 0 0 0 0
ENSG00000009724 16 17 17 13 18 15
ENSG00000009765 0 0 0 0 1 0
ENSG00000009780 79 59 73 79 95 88
ENSG00000009790 5 6 5 2 3 2
ENSG00000009830 220 243 201 136 284 188
ENSG00000009844 494 539 439 273 597 321
ENSG00000009950 0 0 1 1 0 3
ENSG00000009954 1614 1871 1361 963 1840 1271
ENSG00000010017 863 970 740 884 1438 1077
ENSG00000010030 8 5 10 6 3 7
ENSG00000010072 118 124 96 71 166 92
ENSG00000010165 536 489 462 291 553 433
ENSG00000010219 150 138 113 64 147 89
ENSG00000010244 1231 1491 1213 769 1874 1129
ENSG00000010256 840 950 769 637 1630 861
ENSG00000010270 402 458 447 225 503 410
ENSG00000010278 1835 1297 1503 1808 2460 1647
ENSG00000010282 0 0 0 0 0 0
ENSG00000010292 733 692 720 436 778 543
ENSG00000010295 768 431 667 341 463 576
ENSG00000010310 14 7 3 4 5 2
ENSG00000010318 31 32 29 26 25 33
ENSG00000010319 2 0 1 0 2 0
ENSG00000010322 1571 1786 1256 677 1712 915
ENSG00000010327 1 0 0 0 4 0
ENSG00000010361 130 99 121 82 140 131
ENSG00000010379 1 0 0 1 0 0
ENSG00000010404 1213 1111 780 855 1629 667
ENSG00000010438 9 12 6 3 19 6
ENSG00000010539 66 88 68 40 92 49
ENSG00000010610 49 60 11 22 48 11
ENSG00000010626 101 71 77 45 76 57
ENSG00000010671 0 0 0 0 1 0
ENSG00000010704 270 224 244 169 249 138
ENSG00000010803 405 419 362 250 462 331
ENSG00000010810 765 1206 813 423 1365 773
ENSG00000010818 907 1006 853 355 1029 582
ENSG00000010932 31 0 6 21 8 6
ENSG00000011007 665 709 668 442 939 661
ENSG00000011009 219 209 200 124 350 200
ENSG00000011021 334 343 334 211 426 309
ENSG00000011028 11666 8497 8820 5182 9437 6534
ENSG00000011052 0 0 0 0 0 0
ENSG00000011083 1 0 0 1 0 0
ENSG00000011105 1594 1604 1508 1171 2561 1437
ENSG00000011114 606 671 624 393 841 542
ENSG00000011132 117 120 97 64 155 99
ENSG00000011143 95 80 100 36 77 65
ENSG00000011198 378 590 268 442 930 639
ENSG00000011201 0 0 1 0 0 0
ENSG00000011243 422 510 360 196 453 331
ENSG00000011258 194 232 190 110 190 132
ENSG00000011260 178 224 246 122 263 236
ENSG00000011275 901 1058 815 514 1282 669
ENSG00000011295 208 224 209 138 277 164
ENSG00000011304 1543 1758 1703 1171 2687 1868
ENSG00000011332 11 3 5 0 11 4
ENSG00000011347 73 111 92 25 68 47
ENSG00000011376 209 216 273 131 282 222
ENSG00000011405 734 908 559 562 1318 594
ENSG00000011422 237 145 187 95 240 164
ENSG00000011426 128 129 127 75 150 120
ENSG00000011451 777 816 761 410 1016 818
ENSG00000011454 1159 1077 873 1074 1734 833
ENSG00000011465 203592 141400 105763 103823 150689 92138
