"","Gene","Gene_Name","Log10_Pvalue","Log_fold_change"
"1","ENSG00000003096","KLHL13",-2.46650937385894,-0.795989969990151
"2","ENSG00000003402","CFLAR",-4.7733911942943,1.01662015357286
"3","ENSG00000004799","PDK4",-9.13524406911914,2.76008814255023
"4","ENSG00000006114",NA,-2.62127974785672,-0.600301410026301
"5","ENSG00000007237","GAS7",-6.78163685213059,-1.70488388285946
"6","ENSG00000008130","NADK",-3.14543973105399,0.667874591057768
"7","ENSG00000008256","CYTH3",-5.19186661616888,1.18171913006464
"8","ENSG00000008311","AASS",-5.26035980113035,1.07080786172586
"9","ENSG00000009413","REV3L",-5.02863519118356,1.04032293917947
"10","ENSG00000010017","RANBP9",-2.48892936809374,0.616193014419568
"11","ENSG00000011198","ABHD5",-3.49534005405732,0.88800429354366
"12","ENSG00000011566","MAP4K3",-2.93357436398202,0.784208129572342
"13","ENSG00000012048","BRCA1",-5.81819831355876,-1.56414312504537
"14","ENSG00000012171","SEMA3B",-3.3836820328017,-0.861583430459702
"15","ENSG00000013293","SLC7A14",-14.5014554811894,-3.07662406051892
"16","ENSG00000013297","CLDN11",-7.58386548168185,-1.76338547211547
"17","ENSG00000016391","CHDH",-4.91524011859401,-2.27494487223684
"18","ENSG00000017483","SLC38A5",-2.63490172549068,-0.929816455153759
"19","ENSG00000019991","HGF",-3.57771965055249,-0.946806029396128
"20","ENSG00000019995","ZRANB1",-4.58439934724356,0.873781158441879
"21","ENSG00000020577","SAMD4A",-6.80281883452068,1.09787401218223
"22","ENSG00000023909","GCLM",-7.20725800516145,1.29310913223699
"23","ENSG00000025423","HSD17B6",-3.5375276747907,-2.17397682499544
"24","ENSG00000025708","TYMP",-3.8962890656239,1.37056601396542
"25","ENSG00000026950","BTN3A1",-4.09095917214166,-0.820401586412532
"26","ENSG00000028137","TNFRSF1B",-2.7180239389646,0.783598922450479
"27","ENSG00000028277","POU2F2",-3.22593054573979,-2.09484503273914
"28","ENSG00000033867","SLC4A7",-4.51928344579161,-0.888636870505259
"29","ENSG00000034152","MAP2K3",-5.64510904120375,1.02873289200474
"30","ENSG00000035403","VCL",-2.89139913058932,0.805492633674612
"31","ENSG00000035664","DAPK2",-4.24438150710473,1.64753395230229
"32","ENSG00000042286","AIFM2",-3.28791227856073,0.719381885599556
"33","ENSG00000044090","CUL7",-2.49248012677504,-0.587187306266944
"34","ENSG00000046653","GPM6B",-4.25812117610587,2.75296669943987
"35","ENSG00000048540","LMO3",-3.38651086240576,1.91845676154745
